Country,Region,ConfirmedCases,Fatalities,Ratio Cases Vs fatalities,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP (Billions. PPP) USD,GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment %per,Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Serbia,Europe,900,16,56.25,69,34,63.9,50.1,44.8,37.2,82,45.1,90.1,72.9,67.4,80,77,70,50,6.5,10,15,38.4,42.8,7,105.5,1.8,1.2,15000,14.1,3.1,2866.7,61.5,5.77820015,0.050712325,5.877596378,5.678803921,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,1.972316742,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098
Jordan,Middle East and North Africa,274,5,54.8,53,4,66.5,58.4,52.6,50.3,91.4,73.4,60.6,61.8,52.7,85,81.4,70,60,4.3,14,20,16.3,29.8,7.1,89.1,2.3,2.5,12494,14.9,3.3,1664.8,95.6,4.633399963,0.058751218,4.748552322,4.518247604,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,1.972316742,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625,1.262258053
Montenegro,Europe,109,2,54.5,92,39,60.5,55.4,51.8,39.5,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75,50,2.6,9,9,36.1,47.4,0.6,11,4.2,3.2,17736,16.1,2.4,545.9,67.5,5.54610014,0.04898582,5.642112255,5.450088024,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586,1.972316742,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882
Slovenia,Europe,802,15,53.4666666666667,58,29,65.5,76.4,46.5,53.6,58.4,38.3,82.6,79.3,61.2,83.6,86,70,50,2,50,17,37,45.4,2.1,71.1,5,2.5,34407,6.6,1.4,702,75.4,6.363399982,0.043841314,6.449328899,6.277471066,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.972316742,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521
Bulgaria,Europe,399,8,49.875,37,19,69,62.5,41.9,35.1,90.2,63.9,98.8,62.7,68.4,88,86,70,60,2,10,10,28,34.7,7.1,153.1,3.6,2.7,21687,6.2,1.2,1070.7,23.9,5.101500034,0.04422117,5.188173294,5.014826775,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,1.972316742,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0,1.294961452
United States,Americas,188018,3870,48.5834625322997,12,2,76.8,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85,80,1.7,37,21,26,37.8,325.9,19390.6,2.3,2.2,59501,4.4,2.1,275381,107.8,6.939599991,0.047316168,7.032339573,6.846860409,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,1.972316742,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794
Portugal,Europe,7443,160,46.51875,62,30,65.3,71.5,64.3,59.5,59.9,35.6,69.8,79.7,44.3,83,86,70,60,2,48,23,34.4,46.3,10.3,313.4,2.7,1.2,30417,8.9,1.6,6945.6,125.6,5.910900116,0.053158198,6.015089989,5.806710243,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,1.972316742,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708
Ireland,Europe,3235,71,45.5633802816901,6,2,80.5,85.8,68.4,78,76.3,77.4,89,83.1,75.3,87,86,90,70,2,41,12.5,23,27.4,4.7,357.2,7.8,9.7,75538,6.4,0.3,28974.6,68.5,7.093699932,0.039863452,7.171832085,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1.972316742,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174
Venezuela,Americas,135,3,45,179,32,25.9,7.6,13.1,7.9,74.7,58.1,17.6,33.9,28,0,60,0,10,10,34,34,14.9,37.4,31.4,380.7,-14,-7.8,12114,7.7,1087.5,-68,34.9,5.053199768,0.06428051,5.179189682,4.927209854,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,1.972316742,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086
Afghanistan,Asia-Pacific,174,4,43.5,152,39,51.5,19.6,29.6,25.2,91.7,80.3,99.3,49.2,60.4,76.7,66,10,10,7,20,20,5,25.6,35.5,69.6,2.5,2.9,1958,8.8,5,53.9,7.3,2.566900015,0.031311426,2.628270388,2.505529642,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,1.972316742,0.30070585,0.356433839,0.266051531,0,0.135234714,0.001225785,1.507235646
India,Asia-Pacific,1397,35,39.9142857142857,129,31,55.2,57.3,61.6,47.8,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40,40,6.3,30.9,32.4,7.2,27.5,1316.9,9459,6.7,7.2,7183,3.5,3.6,39916.1,70.2,3.573299885,0.027702235,3.627596378,3.519003391,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,1.972316742,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859
Tunisia,Middle East and North Africa,394,10,39.4,125,10,55.4,49.2,42.7,36.6,74.4,74.4,37.9,76.7,50.3,76,71.4,45,30,9.3,35,30,20.8,29.2,11.5,135.4,1.9,1.7,11755,15.4,5.3,879.5,71.3,4.392199993,0.049670532,4.489554405,4.294845581,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249,1.972316742,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742
Panama,Americas,1181,30,39.3666666666667,50,9,67.2,60.4,30.1,34.1,85,85.3,91.3,73.6,43.4,79.4,79.2,75,70,5.4,25,25,15.8,22.2,4.1,103.9,5.4,5.8,25351,4.5,0.9,5319.2,38.2,6.304800034,0.059724931,6.421860695,6.187739372,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,1.972316742,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147
Lebanon,Middle East and North Africa,470,12,39.1666666666667,154,12,51.1,39.5,26.6,18.2,91.8,75.6,0,47.9,46.5,78.1,79,60,50,3,20,15,13.8,28.5,4.5,87.7,1.2,1.5,19439,6.6,4.5,2628,152.8,4.771500111,0.043753985,4.857257843,4.685742378,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625,1.972316742,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147,1.53554225
Mexico,Americas,1094,28,39.0714285714286,66,12,64.7,59.1,34.9,26.3,75.8,78.2,83.2,67.8,58.6,75.9,81.4,75,60,4.3,35,30,17.2,26.9,123.5,2458.4,2,2.5,19903,3.4,6,29695,54.2,6.465000153,0.048122469,6.559319973,6.370680332,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,1.972316742,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197
Argentina,Americas,1054,27,39.037037037037,148,26,52.2,47.8,44.5,33.5,69.3,49.5,33,56.4,46.9,60.2,70,55,60,7.5,35,30,30.8,41,44.1,920.2,2.9,0.7,20876,8.7,25.7,11857,52.6,5.974699974,0.053441759,6.079445839,5.869954109,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,1.972316742,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998
Switzerland,Europe,16605,433,38.3487297921478,4,1,81.9,85.3,82,88,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85,90,1.3,40,24,27.8,34.3,8.4,517.2,1.1,1.6,61422,4.8,0.5,40986.1,42.8,7.559899807,0.035014171,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.972316742,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741
Guatemala,Americas,38,1,38,77,16,62.6,40.3,32.3,26.4,79.2,95.6,96.2,53.6,48.7,77,82.2,70,50,1.4,31,31,12.6,12.1,16.9,137.8,2.8,3.6,8145,2.7,4.4,1146.7,24.4,6.398900032,0.058398303,6.5133605,6.284439564,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,1.972316742,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093
Ukraine,Europe,645,17,37.9411764705882,147,44,52.3,43.9,31.5,29.6,81.8,46.9,82.6,66.1,46.7,58.6,75,35,30,2.5,20,18,33.1,42.1,42.3,368.8,2.5,-2.3,8713,9.5,14.4,2202,75.6,4.56069994,0.049683895,4.658080578,4.463319302,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,1.972316742,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116,1.252669334
Jamaica,Americas,36,1,36,39,5,68.6,60.7,49.2,45,80.2,76,80,78,73.6,82.6,68.4,80,50,10.8,25,25,27.1,28.3,2.8,26.1,1,0.8,9163,12.5,4.4,888,104.1,5.889800072,0.120590433,6.126157284,5.65344286,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,1.972316742,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531
Peru,Americas,1065,30,35.5,45,7,67.8,56.1,34,31.8,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75,60,1.8,30,28,16,21.5,31.8,424.4,2.5,3.6,13334,3.6,2.8,6769.5,25.5,5.796800137,0.061311204,5.916970253,5.67663002,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,1.972316742,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546
Japan,Asia-Pacific,1953,56,34.875,30,8,72.1,84.1,68.5,78,68.2,55,55.7,80.5,79,85.9,80,70,60,2.5,40.8,23.9,30.7,38.7,126.7,5428.8,1.7,1.3,42832,2.8,0.5,10429.8,236.4,5.870800018,0.041391667,5.951927662,5.789672375,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,1.972316742,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333
Togo,Sub-Saharan Africa,34,1,34,158,35,50.3,35.5,29.6,28.1,67.8,77,24.5,50.4,46.7,79.1,69.4,65,30,10.3,45,27,21.5,27.7,7.8,12.9,4.4,5.5,1659,1.8,-0.7,145.6,78.6,4.187200069,0.062506773,4.309713364,4.064686775,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,1.972316742,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251
Cyprus,Europe,262,8,32.75,44,22,68.1,73.1,48.1,43.7,74.9,55.2,80.3,76.9,59.5,84,86,75,60,2,35,12.5,33.6,38.7,0.9,31.6,3.9,0.3,37023,11,0.7,6343.3,99.3,6.15899992,0.050605938,6.258187771,6.059812069,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,1.972316742,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805
Bosnia and Herzegovina,Europe,420,13,32.3076923076923,83,37,61.9,40.2,37.9,30.2,84.3,46.1,96.6,49.7,67,83.1,82.6,65,60,1.2,10,10,37,42.4,3.5,44.6,2.7,2.5,12724,25.6,1.3,425.2,41,5.674099922,0.046385963,5.765016556,5.583183289,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,1.972316742,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205
Ghana,Sub-Saharan Africa,161,5,32.2,109,13,57.5,49.1,44.2,35.5,78.8,82,23.9,56.5,59.9,66.3,63.4,70,60,10.8,35,25,16.5,24.5,28.3,133.7,8.4,5.5,4729,2.4,12.4,3255,71.8,5.147999763,0.058634609,5.262923717,5.033075809,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764,1.972316742,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281
Cameroon,Sub-Saharan Africa,193,6,32.1666666666667,145,29,52.4,42.5,31.3,25.5,74.4,87.5,58.4,44.4,47.8,84,53.4,30,50,15.8,35,33,15.6,20.4,24.3,88.9,3.2,4.9,3660,4.2,0.6,672.5,33.8,5.084899902,0.067296073,5.216800213,4.952999592,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,1.972316742,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842
El Salvador,Americas,32,1,32,84,17,61.8,37.6,29.1,23.4,78.1,86.3,81.9,57.2,53.1,79,81.4,75,60,1.8,30,30,19.7,21.4,6.4,57,2.4,2.1,8948,4.5,1,791.9,59.3,6.34829998,0.058248438,6.462466717,6.234133244,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,1.972316742,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725
Denmark,Europe,2860,90,31.7777777777778,14,6,76.7,86.2,77.8,85.8,42,14.4,96.7,90.7,86.4,84.1,86,90,80,2,56,23.5,45.9,53.4,5.7,286.8,2.1,1.6,49883,5.7,1.1,-3114.7,36.4,7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688
Denmark,Europe,169,0,0,14,6,76.7,86.2,77.8,85.8,42,14.4,96.7,90.7,86.4,84.1,86,90,80,2,56,23.5,45.9,53.4,5.7,286.8,2.1,1.6,49883,5.7,1.1,-3114.7,36.4,7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688
Denmark,Europe,10,0,0,14,6,76.7,86.2,77.8,85.8,42,14.4,96.7,90.7,86.4,84.1,86,90,80,2,56,23.5,45.9,53.4,5.7,286.8,2.1,1.6,49883,5.7,1.1,-3114.7,36.4,7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688
Cuba,Americas,186,6,31,178,31,27.8,31.6,10,37.7,48.8,0,15.6,20,20,65.6,64,10,10,8,50,30,41.5,64.2,11.5,148,0.9,1.9,12920,2.6,5.5,,47.7,,,,,,,,,,,,,,,,,,
Hungary,Europe,492,16,30.75,64,31,65,60.9,45.2,35.3,78.6,31.7,85,61.1,64.7,81.8,86,80,70,2,15,19,39.4,47.7,9.8,289,4,3.2,29474,4.2,2.4,2491.6,69.9,6.000400066,0.039473221,6.077767372,5.923032761,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,1.972316742,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722
Ecuador,Americas,2240,75,29.8666666666667,170,29,46.9,35.9,20.2,25.3,77,55.5,32.1,54.1,48.2,73.5,66.4,35,40,6.8,35,25,21.2,38.5,16.8,192.6,2.7,2,11482,3.8,0.4,606.4,45,5.925199986,0.052880634,6.028846264,5.821553707,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,1.972316742,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834
Trinidad and Tobago,Americas,87,3,29,112,22,57,52.3,40.6,32.9,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60,50,8.3,25,25,22.8,35.7,1.4,43,-2.6,-1.3,31367,4.8,1.9,178.7,41.3,6.191899776,0.114448458,6.416218758,5.967580795,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611,1.972316742,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763
Mauritius,Sub-Saharan Africa,143,5,28.6,25,1,73,69.5,62.1,40.3,92.1,80.3,73.6,79.8,60.8,79.4,88.4,80,70,0.8,15,15,18.4,25.6,1.3,27.5,3.9,3.6,21640,7.1,3.7,292.7,60.2,6.101299763,0.057226494,6.213463783,5.989135742,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,1.972316742,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543
Brazil,Americas,5717,201,28.4427860696517,150,27,51.9,57.3,51.7,28.1,70.5,55.2,5.9,57.9,51.9,75.5,69,50,50,8,27.5,34,32.2,38.6,207.7,3240.3,1,-0.5,15603,13.3,3.4,62712.6,84,6.375599861,0.040790688,6.455549717,6.295650005,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,1.972316742,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313
Romania,Europe,2245,82,27.3780487804878,42,21,68.6,66.7,51.9,39.8,89.7,69,89.3,63.1,64.5,82.7,86,70,50,2,10,16,26,32.1,19.6,481.5,7,4.5,24508,4.9,1.3,5160,36.9,6.123700142,0.047432564,6.216668129,6.030732155,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,1.972316742,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767
Greece,Europe,1314,49,26.8163265306122,106,43,57.7,52.4,49.5,37.7,59.1,23.3,79,74.1,52.5,79.1,81,55,50,2,42,29,38.6,50.6,10.8,298.7,1.4,-0.3,27737,21.5,1.1,4046,181.9,5.514999866,0.046931833,5.606986046,5.423013687,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,1.972316742,1.128070116,1.168973565,0.979431748,0.173516348,0,0.048844352,2.016179085
China,Asia-Pacific,82279,3309,24.8652160773648,100,20,58.4,49.9,75.2,49.1,70.4,70.1,76,56.2,64.2,71.9,73,25,20,3.5,45,25,17.5,31.6,1390.1,23159.1,6.9,7.1,1660,4.7,1.6,136320,47.8,5.123899937,0.025901664,5.174667358,5.073132515,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,1.972316742,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879
Sweden,Europe,4435,180,24.6388888888889,19,10,75.2,89.5,84,88,43.2,26.7,96.6,88,53.9,82,86,85,80,2,57,22,44.1,49.4,10.1,520.9,2.4,2.8,51475,6.7,1.9,15395.7,40.9,7.353499889,0.036234196,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.972316742,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267
Philippines,Asia-Pacific,2084,88,23.6818181818182,70,15,63.8,48.7,36.4,30.9,76.9,88.7,97.1,61.3,57.9,69.6,78.2,60,60,3.4,35,30,13.7,19.4,105.3,875.6,6.7,6.6,8315,2.4,3.2,9524.3,37.8,6.006000042,0.049858402,6.103722572,5.908277512,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,1.972316742,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886
Dominican Republic,Americas,1109,51,21.7450980392157,89,19,61,50.6,18.1,23.2,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70,40,4.6,25,27,13.6,17.9,10.2,172.4,4.6,6.1,16944,5.5,3.3,3570,37.7,5.689199924,0.069831297,5.826069355,5.552330494,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,1.972316742,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864
Paraguay,Americas,65,3,21.6666666666667,85,18,61.8,39.5,30,25.5,96.3,78.9,96.3,61.5,29.2,72.8,76.6,75,60,4.2,10,10,13,26.5,7,68.3,4.3,6,9826,4.6,3.6,355.8,25.6,5.692100048,0.051957864,5.793937683,5.590262413,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,1.972316742,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528
Honduras,Americas,141,7,20.1428571428571,93,20,60.2,43.4,31,25.3,82.8,78.2,95.9,56.9,32,73,79.4,65,60,2.8,25,25,21.6,27,8.3,46.2,4.8,3.6,5562,4.5,3.9,1185.7,43.9,5.953199863,0.065731592,6.082033634,5.824366093,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,1.972316742,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387
Tanzania,Sub-Saharan Africa,19,1,19,94,7,60.2,35.4,41.4,33.2,80.5,90.3,85.2,46.6,66.2,70.4,67.8,55,50,8.6,30,30,12.4,18,50,162.2,6,6.8,3240,2.2,5.3,1180.4,38.2,3.476200104,0.06320975,3.600091219,3.352308989,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,1.972316742,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385
Burkina Faso,Sub-Saharan Africa,261,14,18.6428571428571,96,9,59.4,49.1,42.9,36.6,81.9,80,61.8,51.6,52.3,86.2,65.2,65,40,7.4,27.5,28,16.3,25.8,18.9,35.8,6.4,5.3,1889,6.3,0.4,485.9,38.3,4.768700123,0.062067267,4.890351772,4.647048473,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,1.972316742,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418
Belgium,Europe,12775,705,18.1205673758865,48,25,67.3,81.3,61.6,72.5,47.1,15.2,73.4,78.1,61,76.1,86,85,70,2,50,29,44.2,53.2,11.4,528.5,1.7,1.2,46553,7.4,2.2,740.4,103.2,6.863500118,0.034370355,6.930866241,6.796133995,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,1.972316742,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614
Bolivia,Americas,107,6,17.8333333333333,173,30,42.3,20.5,12.3,19.7,82.4,49.3,17.6,58.8,52.9,68.8,70.4,15,40,4.8,13,25,31.1,41.1,11.1,83.6,4.2,5.1,7547,3.1,2.8,724.7,50.9,5.747499943,0.050645422,5.846765041,5.648234844,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,1.972316742,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593
Morocco,Middle East and North Africa,617,36,17.1388888888889,75,6,62.9,57.2,47.1,39.2,72.2,72.7,66.9,70.3,33.1,83.5,77.4,65,70,3.8,38,30,20.9,30.2,34.9,298.6,4.2,3.4,8567,9.3,0.8,2651.4,64.4,5.094799995,0.05565045,5.203875065,4.985724926,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,1.972316742,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472
Algeria,Middle East and North Africa,716,44,16.2727272727273,171,14,46.2,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30,30,8.8,35,23,24.5,41.4,41.5,632.9,2,3.1,15237,10,5.6,1203,25.8,5.005099773,0.044236008,5.09180212,4.918397427,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,1.972316742,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729
